Property Name,Price,House Type,Area in sq ft,No. of Bedrooms,No. of Bathrooms,Location,Postal Code
Mapleton Crescent,345000,Flat / Apartment,433,1,1,Wandsworth,SW18 4GY
Oxhey Road,950000,House,1896,4,4,Oxhey,WD19 4QQ
Venice Lodge,1700000,Penthouse,1378,3,3,Maida Vale,W9 1SD
Imperial Court,1350000,Flat / Apartment,1428,3,3,4-10 Lexham Gardens,W8 5JH
Highbury Place,999950,Flat / Apartment,726,2,2,Highbury,N5 1QZ
Cross Street,3300000,House,2640,5,5,Islington,N1 2BH
Kings Drive,1200000,House,2491,3,3,Surbiton,KT5 8NQ
Winterdown Road,899950,House,1504,3,3,Esher,KT10 8LJ
Lucienne Court,630000,Penthouse,1043,2,2,72 Lindfield Street,E14 6GT
47 Pilot Walk,720000,Flat / Apartment,987,2,2,Greenwich,SE10 0NW
Park Road,2350000,House,2666,4,4,Grove Park,W4 3HP
Octavia Street,1800000,House,1909,4,4,Battersea,SW11 3DN
Marner Point,367500,Flat / Apartment,472,1,1, Bow,E3 3QE
Princes Drive,2500000,House,5101,6,6, Leatherhead,KT22 0UL
Watford Heath,995000,House,1845,4,4,Oxhey Village,WD19 4EU
Catalina House,685000,Flat / Apartment,560,1,1,4 Canter Way,E1 8QE
Rosemont Road,1100000,House,1582,4,4,Hampstead,NW3 6NE
17 Lillie Square,865000,New development,606,1,1, Earls Court,SW6 1UE
Haverstock Place,725000,Flat / Apartment,696,2,2,Haverstock Street,N1 8BX
Saville Road,1200000,House,1310,4,4,Chiswick,W4 5HG
Castelnau,1700000,House,2126,4,4,Barnes,SW13 9ER
Herne Road,995000,House,1839,5,5,Surbiton,KT6 5BX
Ludo Building,525000,Flat / Apartment,596,2,2,375 Earlsfield Road,SW18 3DG
Broom Road,2275000,House,2803,5,5,Teddington,TW11 9PG
Burnelli Building,825000,Flat / Apartment,722,2,2, 352 Queenstown Road,SW11 8NG
Peninsula Heights,1750000,Flat / Apartment,1481,2,2,93 Albert Embankment,SE1 7TY
Atheldene Road,1100000,House,1632,3,3, Wandsworth,SW18 3BN
St. Ann's Terrace,1795000,Flat / Apartment,1149,2,2,St. John's Wood,NW8 6PH
Richmond Road,775000,Flat / Apartment,996,2,2,Hackney,E8 3QW
The Gallops,825000,House,1272,3,3,Esher,KT10 8BN
Paget Street,850000,Flat / Apartment,826,2,2,Clerkenwell,EC1V 7PA
Ennismore Avenue,875000,Flat / Apartment,977,2,2,Chiswick,W4 1SE
Malthouse Passage,1000000,House,1354,3,3,Barnes,SW13 0AQ
Buckingham Court,1050000,Flat / Apartment,751,2,2,78 Buckingham Gate,SW1E 6PE
Brendon Close,1650000,House,3285,4,4,Esher,KT10 9EH
Dungarvan Avenue,1295000,House,1647,4,4,Putney,SW15 5QU
Ensleigh Lodge,4250000,House,3893,5,5,25 Ham Common,TW10 7JB
Blackhills,1999500,House,3769,5,5,Esher,KT10 9JW
Borneo Street,775000,Flat / Apartment,863,2,2,Putney,SW15 1QQ
Farnsworth Court,495000,Flat / Apartment,821,2,2, Greenwich,SE10 0RU
Seymour Road,1550000,New development,2690,5,5,East Molesey,KT8 0PF
Chelsea Court,600000,Flat / Apartment,455,1,1,95 Elm Park Gardens,SW10 9QW
Park Road,1925000,House,4124,6,6,Banstead,SM7 3EF
Stillingfleet Road,1500000,House,2278,5,5,Barnes,SW13 9AF
Eustace Building,800000,Flat / Apartment,708,2,2, 372 Queenstown Road,SW11 8NT
Islington Green,675000,Flat / Apartment,628,2,2,Islington,N1 2XA
Highgate High Street,875000,Flat / Apartment,1077,2,2,Highgate,N6 5JG
Frithwood Avenue,450000,Flat / Apartment,708,2,2,Northwood,HA6 3LX
Atkins Square,685000,New development,1000,3,3,Dalston Lane,E8 1FA
Dukes Mews,4000000,House,2435,3,3,Marylebone,W1U 3ET
Beech Close,1335000,House,1771,3,3,Putney,SW15 4HW
Admiralty House,2250000,New development,1265,3,3,150 Vaughan Way,E1W 2AH
Westfield,1625000,Flat / Apartment,1612,3,3, Hampstead,NW3 7SG
Balham Grove,1200000,House,1335,4,4,Nightingale Triangle,SW12 8AZ
Lambourne Avenue,5995000,New development,6313,6,6,Wimbledon,SW19 7DW
Poppyfield House,495000,Flat / Apartment,767,2,2,Copperwood Place,SE10 8GD
Thornhill Road,2750000,House,2479,4,4, Islington,N1 1JT
Mare Street,1675000,House,2110,4,4,Hackney,E8 1HE
Asquith House,1595000,Flat / Apartment,1316,3,3, Westminster,SW1P 2AR
Boydell Court,1395000,Flat / Apartment,1171,3,3,St. Johns Wood Park,NW8 6NJ
The Galleries,3295000,Flat / Apartment,2435,4,4,9 Abbey Road,NW8 9AQ
Fleur De Lis Street,800000,Flat / Apartment,857,1,1,Spitalfields,E1 6BP
Chester Row,3300000,House,1669,3,3,Belgravia,SW1W 8JP
Queens Road,625000,Flat / Apartment,729,2,2,Richmond,TW10 6JW
Oak Lodge Avenue,1000000,House,2232,5,5,Chigwell,IG7 5JA
Gillespie Road,550000,Flat / Apartment,585,1,1,Highbury,N5 1LN
Wood Lane,3250000,House,2813,5,5,Highgate,N6 5UB
Perrymead Street,2990000,House,3175,6,6, Fulham,SW6 3SN
Spice Court,475000,Flat / Apartment,566,1,1,Asher Way,E1W 2JD
Victoria Wharf,750000,Flat / Apartment,885,2,2, Limehouse,E14 8DD
Castelnau Gardens,950000,Flat / Apartment,1016,2,2,Barnes,SW13 8DU
Garratt Lane,450000,Flat / Apartment,495,1,1,Wandsworth,SW18 4SW
Castle Road,1500000,House,5587,7,7, Coulsdon,CR5 3NS
King Henrys Road,2250000,Flat / Apartment,1547,3,3,Primrose Hill,NW3 3RP
Sheen Common Drive,3650000,House,4135,5,5,Richmond,TW10 5BN
Hillview,1250000,Flat / Apartment,943,2,2,2-4 Primrose Hill Road,NW3 3AX
Sandown House,650000,Flat / Apartment,1031,2,2, Esher,KT10 9SL
Drake House,850000,Flat / Apartment,861,2,2, Vauxhall,SW8 2LR
West India Quay,1000000,Flat / Apartment,1514,2,2, Canary Wharf,E14 4EF
Bartholomew Villas,825000,Flat / Apartment,687,2,2,Kentish Town,NW5 2LL
Distillery Wharf,1050000,Flat / Apartment,1091,2,2, Regatta Lane,W6 9BF
Great North Road,2375000,House,3116,6,6,Highgate,N6 4LU
Parkfields,2950000,House,3235,6,6,Putney,SW15 6NH
Montevetro,1595000,Flat / Apartment,1219,2,2, Battersea,SW11 3YL
St. John's Wood Terrace,3750000,House,2243,5,5,St John's Wood,NW8 6JL
Birchside Apartments,550000,Flat / Apartment,599,1,1, Queens Park,NW6 5FS
Alaska Apartments,590000,Flat / Apartment,1048,2,2, Royal Docks,E16 1BW
Newton Street,1298000,New development,591,1,1,Covent Garden,WC2B 5EL
Eaton Terrace,7100000,House,2908,5,5,Belgravia,SW1W 8TW
Hardwicks Square,450000,Flat / Apartment,572,1,1,Wandsworth,SW18 4AG
Union Wharf,1795000,House,1842,3,3, Islington,N1 7BL
Globe House,660000,Flat / Apartment,929,2,2, Canary Wharf,E14 0LU
Wadham Gardens,7950000,Flat / Apartment,4168,4,4,Primrose Hill,NW3 3DN
Chronicle Tower,995000,Flat / Apartment,875,2,2, Shoreditch,EC1V 1AL
Lillian Road,1350000,House,1520,3,3,Barnes,SW13 9JF
"Castle Court, Putney Wharf",1195000,Penthouse,1260,3,3, Putney,SW15 2JJ
Weymouth Mews,1575000,Flat / Apartment,979,2,2,Marylebone,W1G 7EG
Bartholomew Road,550000,Flat / Apartment,474,1,1,Kentish Town,NW5 2AS
Downshire Hill,4250000,House,2402,3,3,Hampstead,NW3 1NT
Stylus House,445000,Flat / Apartment,667,2,2,Devonport Street,E1 0EG
Hightrees House,625000,Flat / Apartment,768,2,2,Nightingale Lane,SW12 8AH
St John Street,995000,Flat / Apartment,800,2,2,Clerkenwell,EC1M 4DT
Dale Street,465000,Flat / Apartment,594,1,1,Chiswick,W4 2BZ
Handel Mansions,1300000,Flat / Apartment,1299,2,2, Barnes,SW13 8AH
The Heights,1075000,Flat / Apartment,1138,2,2, Hampstead,NW3 6XS
Victoria Rise,1750000,New development,2431,4,4,Hilgrove Road,NW6 4TH
Dunbar Wharf,900000,Flat / Apartment,1054,2,2, Limehouse,E14 8BB
Peninsula Heights,4795000,Flat / Apartment,3943,5,5, Vauxhall,SE1 7TY
Pissarro House,600000,Flat / Apartment,568,1,1,Augustas Lane,N1 1QT
Brodrick Road,1650000,House,2335,3,3,Wandsworth,SW17 7DX
Southmont Road,999950,House,2249,5,5,Esher,KT10 9BG
Cadogan Terrace,435000,Flat / Apartment,510,1,1,Hackney,E9 5EL
Churston Mansions,700000,Penthouse,623,2,2,176 Gray's Inn Road,WC1X 8ER
Harland House,730000,New development,801,2,2,30-34 Woodfield Place,W9 2BJ
Marchbank House,525000,Flat / Apartment,1239,2,2, Northwood,HA6 2SG
Marylebone High Street,7250000,New development,1991,3,3,Marylebone,W1U 4PY
Chesterfield House,2850000,Flat / Apartment,1275,3,3, Mayfair,W1J 5JX
Wesley Street,5250000,House,3092,5,5,Marylebone,W1G 8PT
Hugero Point,600000,Flat / Apartment,869,2,2, Greenwich,SE10 0GS
Cromford Road,899950,Flat / Apartment,1195,2,2,Putney,SW18 1PA
Buckingham Court,1175000,Flat / Apartment,776,2,2, Notting Hill,W11 3BP
Dorset Court,725000,Duplex,940,3,3,Hertford Road,N1 4SD
Priory Road,2250000,House,2293,4,4,South Hampstead,NW6 4NN
Adelphi Court,400000,Flat / Apartment,708,2,2,Chiswick,W4 4QF
Brodrick Road,2150000,House,2598,5,5, Wandsworth,SW17 7DX
Stillingfleet Road,895000,House,1133,3,3,Barnes,SW13 9AG
Cato Street,2500000,House,1888,3,3,Marylebone,W1H 5JH
Sugar House,550000,Flat / Apartment,481,1,1,99 Leman Street,E1 8GH
Boatman's Court,879950,New development,1048,2,2, Putney,SW15 1PP
Airedale Avenue,2300000,House,2526,5,5,Chiswick,W4 2NN
Millennium House,650000,Flat / Apartment,664,2,2, Putney,SW15 2DN
Alacia Court,600000,New development,813,2,2,Palmerston Road,W3 8GJ
Quebec Wharf,775000,Flat / Apartment,941,1,1,315 Kingsland Road,E8 4DJ
Cumberland Terrace,7250000,Flat / Apartment,2248,4,4,Regent's Park,NW1 4HP
Compass House,675000,Flat / Apartment,1097,2,2,Smugglers Way,SW18 1DB
Heathview Court,350000,Flat / Apartment,507,1,1,70 Parkside,SW19 5NL
Hills Lane,880000,House,1573,3,3,Northwood,HA6 2QL
Leinster Square,1250000,Flat / Apartment,763,1,1,Bayswater,W2 4NQ
Wallace Road,800000,Flat / Apartment,1022,2,2,Canonbury,N1 2PQ
Malvern Road,735000,Flat / Apartment,747,2,2,Hackney,E8 3LJ
Ontario Tower,1450000,Flat / Apartment,1849,2,2,4 Fairmont Avenue,E14 9JD
South Quay  Plaza,1300000,New development,1203,3,3,Canary Wharf,E14 9SH
Rivermead,1100000,House,1822,4,4,East Molesey,KT8 9AZ
Ashley Park Avenue,2795000,House,4704,4,4,Walton-on-Thames,KT12 1ET
Cambridge Heath Road,360000,Flat / Apartment,411,1,1,Bethnal Green,E2 9RA
Octavia House,950000,Flat / Apartment,970,2,2, Fulham,SW6 2FJ
King Edward House,825000,Flat / Apartment,1819,3,3,King Edward Place,WD23 2RG
Grosvenor Square,2950000,Flat / Apartment,840,2,2,Mayfair,W1K 6LD
Manfred Court,615000,Flat / Apartment,694,2,2,Manfred Road,SW15 2RT
St. Ann's Crescent,580000,Flat / Apartment,817,2,2,Wandsworth,SW18 2LR
Skysail Building,325000,Flat / Apartment,500,1,1,210 Poplar High Street,E14 0BB
Northways,995000,Flat / Apartment,1039,2,2,College Crescent,NW3 5DP
Zulu Mews,995000,House,1275,2,2,Battersea,SW11 2BQ
Barmouth Road,1150000,House,1758,4,4,Wandsworth,SW18 2DT
Brocklebank Road,1100000,House,1432,4,4,Wandsworth,SW18 3AT
Townshend Court,475000,Flat / Apartment,471,1,1,Shannon Place,NW8 7DP
Exchange Building,1100000,Penthouse,1052,2,2, Shoreditch,E1 6NQ
Kreisel Walk,1695000,House,1842,4,4,Richmond,TW9 3AL
Crogsland Road,499999,Flat / Apartment,464,1,1,Chalk Farm,NW1 8AY
Erskine Road,398000,Flat / Apartment,292,1,1,Primrose Hill,NW3 3AJ
Thornhill Grove,2100000,House,1677,3,3,Islington,N1 1JG
Regis Place,900000,Flat / Apartment,1013,2,2,10 Llanvanor Road,NW2 2AP
Belsize Park Gardens,4500000,Flat / Apartment,2774,4,4,Belsize Park,NW3 4LD
Arnison Road,1650000,House,2698,5,5,East Molesey,KT8 9JF
Manor Drive,925000,House,1483,4,4,Esher,KT10 0AU
Dance Square,800000,Flat / Apartment,814,2,2,Clerkenwell,EC1V 3AL
Brynmaer Road,2350000,House,2299,5,5,Battersea,SW11 4EN
Kings Gate Walk,1860000,Flat / Apartment,1174,2,2,Victoria,SW1E 6AN
Eccleston Square,850000,Flat / Apartment,601,2,2, Westminster,SW1V 1NS
Horizon Building,650000,Flat / Apartment,929,2,2, Canary Wharf,E14 4AW
Arnison Road,2575000,House,3785,5,5,East Molesey,KT8 9JJ
Oxberry Avenue,625000,Flat / Apartment,693,2,2,Fulham,SW6 5SP
Barons Walk,885000,New development,1175,3,3,Kenninghall Road,E5 8DF
Sefton Street,595000,New development,647,2,2,Putney,SW15 1NA
Sefton Street,595000,New development,657,2,2,Putney,SW15 1NA
Sefton Street,539950,New development,592,2,2,Putney,SW15 1NA
Thornton Place,750000,Flat / Apartment,1420,2,2,Clapham Common North Side,SW4 0AB
Willow Bridge Road,1750000,Flat / Apartment,1203,3,3, Islington,N1 2LA
Seacon Tower,575000,Flat / Apartment,701,2,2,5 Hutchings Street,E14 8JX
Aumbrey Apartments,650000,Flat / Apartment,864,3,3,Eastway,E9 5HE
St Georges Terrace,2750000,Flat / Apartment,1471,3,3,Primrose Hill,NW1 8XH
Gloucester Avenue,2275000,Flat / Apartment,1540,3,3,Primrose Hill,NW1 8JD
Grosvenor Waterside,1295000,Flat / Apartment,887,2,2,9 Gatliff Road,SW1W 8DQ
Church Road,675000,Flat / Apartment,863,2,2,Richmond,TW10 6LW
Wells Place,850000,House,1356,3,3,London,SW18 3BF
Pudding Lane,3750000,House,5272,5,5,Chigwell,IG7 6BY
Station Way,285000,Flat / Apartment,693,2,2,Buckhurst Hill,IG9 6LN
Newnham House,470000,Flat / Apartment,885,2,2, Loughton,IG10 4JH
Graham Road,1575000,House,1799,4,4,Hackney,E8 1BZ
Rusthall Avenue,1900000,House,2199,4,4,Chiswick,W4 1BS
Cleveland Road,2895000,House,3334,6,6,Barnes,SW13 0AA
Television Centre,750000,Flat / Apartment,580,1,1,101 Wood Lane,W12 7FT
Ransomes Dock,2350000,Flat / Apartment,2168,3,3, Battersea,SW11 4NP
Romney House,2150000,Flat / Apartment,1959,3,3,47 Marsham Street,SW1P 3DR
Worple Road,1300000,House,2346,5,5,Wimbledon,SW20 8RQ
Steeple Court,795000,Flat / Apartment,1082,2,2, Wimbledon,SW19 7BP
Cottenham Park Road,1350000,Flat / Apartment,1888,3,3,Wimbledon,SW20 0RZ
Landmark Court,550000,Flat / Apartment,469,2,2, Marylebone,NW1 6SL
Eamont Court,635000,Flat / Apartment,619,2,2,Eamont Street,NW8 7DG
Visage Apartments,670000,Flat / Apartment,669,1,1,Winchester Road,NW3 3NE
City Road,1000000,Flat / Apartment,1173,2,2,Shoreditch,EC1V 2NR
Grosvenor Road,2000000,House,1884,5,5,Richmond,TW10 6PE
Amerland Road,1075000,House,1255,3,3,Putney,SW18 1PZ
Chelverton Road,799950,Flat / Apartment,905,2,2,Putney,SW15 1RN
Carlton Drive,3695000,House,4661,6,6,Putney,SW15 2DH
Copse Wood Way,1750000,House,3026,5,5,Northwood,HA6 2UB
Westside Court,850000,Flat / Apartment,791,2,2,Elgin Avenue,W9 2NP
Hallam Street,1095000,Flat / Apartment,663,2,2,Marylebone,W1W 6JN
Wimpole Street,2575000,Flat / Apartment,1374,3,3,Marylebone,W1G 8AE
Mount Street,1750000,Flat / Apartment,1089,2,2,Mayfair,W1K 2RP
Princes Drive,5950000,New development,11610,6,6,Oxshott,KT22 0UL
Hillborough Court,300000,Flat / Apartment,483,1,1,Livermere Road,E8 4LG
St. Anns Gardens,1795000,House,1787,4,4,Kentish Town,NW5 4ER
Inglethorpe Street,2350000,House,2858,5,5, Fulham,SW6 6NX
Rivermead Court,1950000,Flat / Apartment,1730,3,3,Ranelagh Gardens,SW6 3RT
Pursers Cross Road,1400000,House,1102,3,3, Fulham,SW6 4QX
Gunnersbury Avenue,500000,Flat / Apartment,770,2,2,Ealing,W5 3NJ
Haven Place,1150000,House,2382,5,5, Esher,KT10 9AQ
Imber Park Road,900000,House,1606,4,4,Esher,KT10 8JB
Tolworth Road,500000,House,669,2,2,Surbiton,KT6 7TA
Queens Drive,1150000,House,1961,4,4,Surbiton,KT5 8PP
Flaxman House,870000,Flat / Apartment,635,1,1,1-3 Coleherne Road,SW10 9BS
Broadway Lofts,550000,Flat / Apartment,848,2,2,10 Gatton Road,SW17 0EE
City Tower,450000,Flat / Apartment,640,2,2, Canary Wharf,E14 9LU
Hugero Point,399995,Flat / Apartment,569,1,1,2 Rennie Street,SE10 0GS
Trinity Tower,650000,Flat / Apartment,1399,2,2, Canary Wharf;,E14 9JW
Myddelton Square,950000,Flat / Apartment,963,2,2,Clerkenwell,EC1R 1YA
Saffron Hill,885000,Flat / Apartment,747,2,2,Clerkenwell,EC1N 8QS
St. Albans Avenue,1595000,House,1688,5,5,Chiswick,W4 5JR
Eden Studios,675000,House,705,2,2,20-24 Beaumont Road,W4 5AP
Westfields Avenue,2500000,House,3491,6,6,Barnes,SW13 0AT
Television Centre,775000,New development,672,1,1,101 Wood Lane,W12 7FS
Bentley House,995000,Flat / Apartment,1081,3,3,22 Bute Gardens,W6 7DR
Drapers Court,570000,Flat / Apartment,640,1,1,59 Lurline Gardens,SW11 4DF
Albany Mansions,950000,Flat / Apartment,935,2,2, Battersea,SW11 4PG
Phillip House,550000,Flat / Apartment,569,2,2, Shoreditch,E1 5LW
Thames Reach,1200000,Flat / Apartment,1101,2,2, Fulham,W6 9HS
Hill Court,1900000,Flat / Apartment,1961,3,3, Wimbledon,SW19 7PD
Trinity Road,600000,Flat / Apartment,721,2,2,Wandsworth,SW18 3SN
Clifton Hill,5750000,House,3753,6,6,St John's Wood,NW8 0JT
Julius Seal House,450000,Flat / Apartment,549,1,1,1A Belsham Street,E9 6FA
Hampstead Gate,1795000,House,2064,4,4,1A Frognal,NW3 6AL
Hampton Court Road,2750000,House,5810,5,5,East Molesey,KT8 9BW
Outwood Lane,875000,House,1756,4,4,Chipstead,CR5 3NB
Adriatic Apartments,899995,Penthouse,1310,2,2,20 Western Gateway,E16 1BU
Byfeld Gardens,2125000,House,2128,4,4,Barnes,SW13 9HP
Guilford Street,2000000,Flat / Apartment,1467,3,3,Bloomsbury,WC1N 1DF
Warehouse W,450000,Flat / Apartment,677,1,1,3 Western Gateway,E16 1BD
Biggs Square,375000,Flat / Apartment,502,1,1,Felstead Street,E9 5DT
The Nautilus Building,650000,Flat / Apartment,562,1,1,3 Myddelton Passage,EC1R 1XW
Grove Farm Park,1200000,House,2194,6,6,Northwood,HA6 2BQ
Ringford Road,1395000,House,1835,4,4,Putney,SW18 1RS
Capital East Apartments,375000,Flat / Apartment,590,1,1, Newham,E16 1AS
Pissarro House,650000,Flat / Apartment,662,1,1,Augustas Lane,N1 1QT
Carlyle Court,1250000,Flat / Apartment,1159,2,2,Chelsea Harbour,SW10 0UQ
Tudor Road,775000,Flat / Apartment,847,2,2,South Hackney,E9 7SN
Pelhams Walk,2350000,New development,4777,5,5,Esher,KT10 8QD
Roy Road,1000000,House,2544,4,4,Northwood,HA6 1EH
Albany Court,635000,Flat / Apartment,526,1,1, St. James's Park,SW1H 0AA
New Road,1575000,House,2369,4,4,Esher,KT10 9NU
Discovery Dock Apartments East,699995,Flat / Apartment,919,2,2, Canary Wharf,E14 9RU
Hampstead High Street,1100000,Flat / Apartment,1313,4,4,Hampstead,NW3 1QH
Bezier Apartments,4500000,Penthouse,2922,3,3,91 City Road,EC1Y 1AH
Hyde Park Square,2750000,Flat / Apartment,1295,3,3,Connaught Village,W2 2JY
Kilburn Park Road,715000,Flat / Apartment,789,2,2,Queen's Park,NW6 5LD
City Road,1977000,New development,1075,2,2,Shoreditch,EC1V 1AA
City Road,2379000,New development,1372,3,3,Shoreditch,EC1V 1AA
City Road,2899000,New development,1594,3,3,Shoreditch,EC1V 1AA
Glenloch Road,4750000,House,3546,5,5,Belsize Park,NW3 4DJ
James House,450000,Flat / Apartment,800,3,3,Solebay Street,E1 4PP
Bective Road,1245000,House,1450,4,4,Putney,SW15 2QA
Tonsley Road,1195000,House,1262,3,3,Wandsworth,SW18 1BG
Gainsborough Studios North,775000,Flat / Apartment,853,2,2,1 Poole Street,N1 5EB
West Hill,465000,Flat / Apartment,667,1,1,Putney,SW18 1RB
Pearson Square,2400000,Flat / Apartment,1053,2,2,Fitzrovia,W1T 3BH
Ruvigny Gardens,1695000,House,1903,4,4,Putney,SW15 1JR
North Grove,2500000,House,2475,4,4,Highgate,N6 4SH
The Bowls,675000,Flat / Apartment,1533,3,3,Chigwell,IG7 6ND
Rowan Lodge,2500000,Flat / Apartment,1184,3,3, Marloes Road,W8 5UJ
Riverlight Quay,850000,New development,819,2,2,Nine Elms,SW8 5BE
Cummings House,599999,New development,735,1,1, Wandsworth,SW18 1UA
Bellwether Lane,575000,Flat / Apartment,613,1,1,Wandsworth,SW18 1UE
Ainger Road,865000,Flat / Apartment,781,2,2,Primrose Hill,NW3 3AR
Kewferry Drive,2950000,House,4904,5,5,Northwood,HA6 2NU
St. Georges Wharf,1500000,Flat / Apartment,1364,3,3,6 Shad Thames,SE1 2YS
Gun Place,420000,Flat / Apartment,554,1,1,86 Wapping High Street,E1W 2RX
Flask Walk,825000,Flat / Apartment,573,1,1,Hampstead,NW3 1HE
Park Lane,2150000,Flat / Apartment,802,2,2,Mayfair,W1K 1PU
Chalcot Square,999995,Flat / Apartment,763,2,2,Primrose Hill,NW1 8YA
Highwood House,525000,Flat / Apartment,844,2,2, Esher,KT10 8BP
Cranfield Court,695000,Flat / Apartment,463,1,1,Homer Street,W1H 4NF
Myrtleside Close,550000,Flat / Apartment,1103,2,2,Northwood,HA6 2XQ
Carlton Mansions,850000,Flat / Apartment,822,2,2,205 Randolph Avenue,W9 1NR
Exchange Building,1250000,Flat / Apartment,1407,2,2, Shoreditch,E1 6NQ
St. James's Street,1375000,Flat / Apartment,641,1,1,St. James's,SW1A 1PH
Landmark East Tower,560000,Flat / Apartment,541,1,1, Canary Wharf,E14 9EG
Bevans House,410000,Flat / Apartment,549,1,1,31 Eltringham Street,SW18 1GR
Waldegrave Park,3700000,House,4438,6,6,Twickenham,TW1 4TJ
Arlington Road,699999,Flat / Apartment,759,1,1,Camden,NW1 7ET
Queens Road,1400000,Flat / Apartment,1388,3,3,Richmond,TW10 6JW
Portland Place,4900000,Penthouse,2122,2,2,Marylebone,W1B 1PW
Chronicle Tower,950000,New development,898,2,2,261B City Road,EC1V 1AJ
Esher Green,2250000,House,3874,5,5,Esher,KT10 8AD
Holmes Road,900000,Flat / Apartment,962,2,2,Kentish Town,NW5 3AN
Spencer Road,2850000,House,4094,5,5,East Molesey,KT8 0SP
Wolsey Road,2500000,House,3740,6,6,East Molesey,KT8 9EW
Boat Race House,1050000,New development,1184,2,2,63 Mortlake High Street,SW14 8AJ
Ollards Grove,1450000,House,2322,5,5,Loughton,IG10 4DW
Kingsland Road,490000,Flat / Apartment,594,1,1,Hackney,E8 4DS
Bull Inn Court,1095000,Flat / Apartment,741,1,1,Covent Garden,WC2R 0NP
The Hermitage,625000,Flat / Apartment,648,2,2,Barnes,SW13 9RF
Kensington House,3350000,Flat / Apartment,2024,4,4,35 Kensington Court,W8 5BD
City North East Tower,720000,New development,883,2,2,3 City North Place,N4 3FQ
City North East Tower,715000,New development,883,2,2,3 City North Place,N4 3FQ
City North East Tower,710000,New development,883,2,2,3 City North Place,N4 3FQ
Eglantine Road,450000,Flat / Apartment,678,2,2,Wandsworth,SW18 2DD
Russell Villas,2350000,House,2115,4,4,Willoughby Road,TW1 2QG
Sandy Lane,2195000,House,3337,5,5,Teddington,TW11 0DR
Stanley Road,915000,Bungalow,1771,5,5,Northwood,HA6 1RQ
The Wallpaper Apartments,950000,Flat / Apartment,955,2,2,142 Offord Road,N1 1NS
Princes Park Apartments South,1200000,Penthouse,1152,3,3,52 Prince of Wales Road,NW5 3LN
Pelhams Walk,1895000,House,3225,5,5,Esher,KT10 8QD
Claremont Avenue,1295000,House,2331,4,4,Esher,KT10 9JD
Great James Street,4950000,House,3908,4,4,Bloomsbury,WC1N 3HB
Prebend Gardens,2100000,House,2290,5,5,Chiswick,W4 1TN
Denbigh Gardens,5250000,House,4386,5,5,Richmond,TW10 6EN
Pied Bull Yard,1250000,House,1013,3,3,Islington,N1 0EU
Kingsland Road,925000,Penthouse,913,2,2,Hackney,E8 4DQ
Eaton Square,3100000,Flat / Apartment,1682,2,2,Belgravia,SW1W 9DA
Outwood Lane,3950000,House,10807,7,7, Tadworth,KT20 6JS
Sutton Court Road,1775000,House,3143,6,6,Chiswick,W4 3EQ
Melody Road,1750000,House,2230,5,5,Wandsworth,SW18 2QW
Stokesheath Road,4500000,House,7935,6,6,Oxshott,KT22 0PN
Academy Gardens,5700000,New development,2482,3,3,Duchess of Bedfords Walk,W8 7QQ
Markham Street,2950000,House,1415,3,3,Chelsea,SW3 3NP
Ditton Grove,925000,House,1642,3,3,Esher,KT10 9FN
Hale House,650000,Flat / Apartment,570,1,1,27 Lindsay Square,SW1V 2HS
Cadogan Terrace,299950,Flat / Apartment,274,1,1,Hackney Wick,E9 5HP
Chester Terrace,6500000,House,4185,6,6,Regent's Park,NW1 4ND
Cambridge Heath Road,475000,Flat / Apartment,720,2,2,Bethnal Green,E2 0EL
Shirland Road,750000,Flat / Apartment,738,2,2,Maida Vale,W9 3JH
Elgin Avenue,2595000,Flat / Apartment,2006,3,3,Maida Vale,W9 1NH
Strand,3750000,New development,1545,3,3,Temple,WC2R 1AB
Bridge House,530000,New development,848,2,2, Loughton,IG10 3ED
Lee Street,575000,Flat / Apartment,688,2,2,Haggerston,E8 4FB
Vista House,900000,New development,986,2,2, Longfield Avenue,W5 2BT
Dundee Court,495000,Flat / Apartment,626,1,1,73 Wapping High Street,E1W 2YG
Boston Building,300000,Flat / Apartment,446,1,1, Lewisham,SE13 7RW
Carver Close,795000,House,1019,3,3, Chiswick,W4 5BP
Fielding Mews,1250000,House,1606,3,3,Barnes,SW13 9EY
York Mansions,1875000,Flat / Apartment,1383,3,3,Prince of Wales Drive,SW11 4DN
Knightley Walk,700000,Flat / Apartment,898,2,2,Wandsworth,SW18 1HB
Wilna Road,925000,House,1357,3,3,Wandsworth,SW18 3BA
Evelyn Mansions,1150000,Flat / Apartment,1816,2,2,Carlisle Place,SW1P 1NH
Burghley Road,3995000,House,5509,5,5,Wimbledon,SW19 5HL
Leopold Court,1300000,Flat / Apartment,1946,3,3, Esher,KT10 9BW
Marlborough Crescent,3300000,House,2885,6,6, Chiswick,W4 1HE
Grangewood,425000,Flat / Apartment,523,1,1, Putney,SW15 2RN
Hilliard House,350000,Flat / Apartment,512,1,1,Prusom Street,E1W 3NN
One Kensington Gardens,5500000,New development,1866,2,2, Kensington,W8 5AE
Nexus Court,399000,Flat / Apartment,469,1,1,Malvern Road,NW6 5AT
Merino Court,1200000,Penthouse,1154,2,2,154 Lever Street,EC1V 8BG
Monkhams Avenue,1595000,House,2363,5,5,Woodford Green,IG8 0EX
